17109,no,0,1,0,1,1,2,0,0.37781,4,3,1,0,0,2,2,3,0.62219
17110,no,4,1,1,0.375,0,1,2,0.90335,3,6,4,1,1,1,1,2,0.09665
17111,no,2,1,0,0.875,0,2,0,0.61863,5,2,2,1,1,2,1,3,0.38137
17112,no,2,1,0,0.875,0,2,0,0.87063,5,2,2,1,1,2,1,3,0.12937
17113,no,2,1,0,0.875,0,2,0,0.87046,5,7,2,1,1,2,1,3,0.12954
17114,no,0,1,0,1,1,2,0,0.86257,5,7,1,0,0,2,2,3,0.13743
17115,no,2,1,0,0.875,0,2,0,0.91051,5,2,2,1,1,2,1,3,0.08949
17116,no,0,0,0,0,0,2,0,0.66487,3,5,0,1,1,0,0,2,0.33513
17117,no,0,0,0,0,0,2,0,0.37204,3,2,0,1,1,0,0,2,0.62796
17118,no,0,0,0,0,0,2,0,0.83676,3,5,0,1,1,0,0,2,0.16324
17119,no,0,1,0,0.875,1,1,0,0.83581,9,5,1,0,0,2,2,2,0.16419
17120,no,0,1,0,0.875,1,1,0,0.67829,9,5,1,0,0,2,2,2,0.32171
17121,no,0,1,0,0.875,1,1,0,0.65024,9,5,1,0,0,2,2,2,0.34976
17122,no,0,1,0,0.875,1,1,0,0.94651,9,5,1,0,0,2,2,2,0.05349
17123,no,0,1,0,0.875,1,1,0,0.72014,9,5,1,0,0,2,2,2,0.27986
17124,no,0,1,0,0.875,1,1,0,0.92137,9,5,1,0,0,2,2,2,0.07863
17125,no,0,1,0,0.875,1,1,0,0.71366,9,5,1,0,0,2,2,2,0.28634
17126,no,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
17127,no,0,1,0,0.875,1,1,0,0.94331,9,5,1,0,0,2,2,2,0.05669
17128,no,0,0,0,0,0,5,0,0.90511,11,5,0,1,1,0,0,5,0.09489
17129,no,0,0,0,0,0,1,0,0.89328,17,4,0,1,1,0,0,1,0.10672
17130,no,0,0,0,0,0,1,0,0.98747,17,2,0,1,1,0,0,1,0.01253
17131,no,0,0,0,0,0,1,0,0.43715,17,6,0,1,1,0,0,1,0.56285
17132,no,0,0,0,0,0,1,0,0.44435,32,2,0,1,1,0,0,1,0.55565
17133,no,0,0,0,0,0,1,0,0.39886,32,2,0,1,1,0,0,1,0.60114
17134,no,0,0,0,0,0,1,0,0.74889,32,2,0,1,1,0,0,1,0.25111
17135,no,0,0,0,0,0,1,0,0.7783,32,7,0,1,1,0,0,1,0.2217
17136,no,0,0,0,0,0,1,0,0.74968,32,2,0,1,1,0,0,1,0.25032
17137,no,0,0,0,0,0,1,0,0.7298,32,7,0,1,1,0,0,1,0.2702
